"表 2 2009年至2018年按年齡組別及道路使用者類別劃分的道路交通意外傷亡者數目 Table 2 Number of road traffic accident casualties by age group by class of road user, 2009 to 2018",,,,,,,,,,
年 Year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
騎電單車者 Motor Cyclist,0.001,0.002,0.002,0.001,0.002,0.003,0.003,0.004,0.005,0.004
騎單車者 Cyclist,121,165,172,224,221,235,252,230,271,277
騎單車者 Cyclist,0.007,0.009,0.009,0.011,0.011,0.012,0.012,0.011,0.014,0.014
小計 Sub-total,2353,2544,2783,2950,3178,3225,3442,3526,3671,3875
小計 Sub-total,0.13,0.133,0.141,0.146,0.154,0.162,0.169,0.175,0.185,0.197
年齡不詳 Unknown age,222,304,218,293,181,117,123,142,335,271
年齡不詳 Unknown age,0.012,0.016,0.011,0.014,0.009,0.006,0.006,0.007,0.017,0.014
全部年齡組別(1) All ages(1),,,,,,,,,,
行人 Pedestrian,3583,3898,3840,3822,3694,3604,3513,3429,3190,3206
行人 Pedestrian,0.198,0.204,0.194,0.189,0.179,0.182,0.172,0.17,0.16,0.163
乘客 Passenger,6171,6496,6612,6802,7244,6660,6739,6505,6541,6051
乘客 Passenger,0.34,0.34,0.334,0.337,0.352,0.335,0.331,0.323,0.329,0.308
駕駛者 Driver,8384,8730,9351,9586,9658,9590,10129,10198,10157,10380
駕駛者 Driver,0.462,0.456,0.472,0.474,0.469,0.483,0.497,0.507,0.511,0.529
其中 Of which,,,,,,,,,,
騎電單車者 Motor Cyclist,2368,2224,2146,2072,2041,2113,2136,2177,2109,2217
騎電單車者 Motor Cyclist,0.131,0.116,0.108,0.103,0.099,0.106,0.105,0.108,0.106,0.113
騎單車者 Cyclist,1581,1768,2194,2442,2413,2315,2395,1978,1779,1687
騎單車者 Cyclist,0.087,0.092,0.111,0.121,0.117,0.117,0.118,0.098,0.089,0.086
總計 Total,18138,19124,19803,20210,20596,19854,20381,20132,19888,19637
總計 Total,1,1,1,1,1,1,1,1,1,1
註釋： Notes: ,(1)  包括年齡不詳的傷亡者。 (1)  Including casualties with age unknown.,,,,,,,,,
註釋： Notes: ,§     少於0.05%。 §     Less than 0.05%.,,,,,,,,,
註釋： Notes: ,括號內的數字顯示在個別年齡組別／道路使用者類別中佔所有傷亡人數的百分比。由於四捨五入關係，個別百分比加起來可能不等於其總數。 Figures in brackets represent the percentage share of the total number of casualties in the respective age/class of road user groups.  They may not add up to their respective totals due to rounding.,,,,,,,,,
